SURVEY_YEAR,REGION,SIZE1,ABUN_FEMALE_IMM,ABUN_FEM_MAT,TOTAL_ABUN
2019,NBS,48,35845393,22236947,58082340
2019,NBS,49,35976573,16636062,52612635
2019,NBS,50,35810813,21311846,57122659
2019,NBS,51,36772590,20475773,57248363
2019,NBS,52,32050008,13961447,46011455
2019,NBS,53,17295013,9402998,26698011
2019,NBS,54,10711941,15313829,26025770
2019,NBS,55,9379491,4800295,14179786
2019,NBS,56,6368966,6472572,12841538
2019,NBS,57,4287290,1347943,5635233
2019,NBS,58,3170236,2040265,5210501
2019,NBS,59,2680575,1242885,3923460
2019,NBS,60,662844,905447,1568291
2019,NBS,61,807409,516005,1323414
2019,NBS,62,148422,427881,576303
2019,NBS,63,0,727047,727047
2019,NBS,64,41660,575984,617644
2019,NBS,65,0,638278,638278
2019,NBS,66,0,255248,255248
2019,NBS,67,0,184252,184252
2019,NBS,68,0,0,0
2019,NBS,69,0,101402,101402
